"Title","Gross Domestic Product at market prices: Current price: Seasonally adjusted £m"
"CDID","YBHA"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","12-11-2020"
"Next release","22 December 2020"
"Important notes","Following a quality review it has been identified that the methodology used to estimate elements of purchased software within gross fixed capital formation (GFCF) has led to some double counting from 1997 onwards. When this issue is amended in The Blue Book 2017 it will reduce the level of GFCF across the period by around 1.1% per year. The average impact on quarter-on-quarter GFCF growth is negative 0.02% and the average impact on quarter-on-quarter GDP growth is 0.00%."
"1948","11425"
"1949","12168"
"1950","12737"
"1951","14298"
"1952","15528"
"1953","16675"
"1954","17589"
"1955","19160"
"1956","20832"
"1957","22093"
"1958","23210"
"1959","24378"
"1960","26189"
"1961","27905"
"1962","29224"
"1963","31091"
"1964","34043"
"1965","36826"
"1966","39394"
"1967","41684"
"1968","45809"
"1969","49785"
"1970","56057"
"1971","62885"
"1972","70553"
"1973","81746"
"1974","92612"
"1975","115027"
"1976","136901"
"1977","159631"
"1978","185960"
"1979","220721"
"1980","259663"
"1981","289840"
"1982","319212"
"1983","351051"
"1984","377644"
"1985","414428"
"1986","446635"
"1987","496140"
"1988","555607"
"1989","614524"
"1990","668931"
"1991","705464"
"1992","730578"
"1993","769159"
"1994","809486"
"1995","850181"
"1996","907265"
"1997","951750"
"1998","997247"
"1999","1039752"
"2000","1095900"
"2001","1138375"
"2002","1187671"
"2003","1256188"
"2004","1317459"
"2005","1393038"
"2006","1470719"
"2007","1546085"
"2008","1589259"
"2009","1548513"
"2010","1606027"
"2011","1660141"
"2012","1711770"
"2013","1780336"
"2014","1863008"
"2015","1919641"
"2016","1994712"
"2017","2068757"
"2018","2141792"
"2019","2214362"
"1955 Q1","4664"
"1955 Q2","4687"
"1955 Q3","4860"
"1955 Q4","4949"
"1956 Q1","5083"
"1956 Q2","5152"
"1956 Q3","5233"
"1956 Q4","5364"
"1957 Q1","5376"
"1957 Q2","5458"
"1957 Q3","5575"
"1957 Q4","5684"
"1958 Q1","5797"
"1958 Q2","5722"
"1958 Q3","5822"
"1958 Q4","5869"
"1959 Q1","5883"
"1959 Q2","6078"
"1959 Q3","6100"
"1959 Q4","6317"
"1960 Q1","6421"
"1960 Q2","6482"
"1960 Q3","6576"
"1960 Q4","6710"
"1961 Q1","6878"
